time,gFx,gFy,gFz,TgF,Activity,Subject
7.351578,0.3349,-0.4044,-0.8552,1.0,LAYING,LAKSH
7.362953,0.3368,-0.4035,-0.8562,1.0,LAYING,LAKSH
7.396075,0.3451,-0.4042,-0.8433,1.0,LAYING,LAKSH
7.413977,0.3463,-0.4007,-0.8371,0.99,LAYING,LAKSH
7.429005,0.3432,-0.401,-0.8389,0.99,LAYING,LAKSH
7.450237,0.3358,-0.4005,-0.8554,1.0,LAYING,LAKSH
7.469316,0.3317,-0.4044,-0.855,1.0,LAYING,LAKSH
7.494285,0.3407,-0.4098,-0.844,1.0,LAYING,LAKSH
7.512097,0.3437,-0.4107,-0.8452,1.0,LAYING,LAKSH
7.529154,0.3442,-0.4076,-0.8469,1.0,LAYING,LAKSH
7.547441,0.3432,-0.4068,-0.8494,1.0,LAYING,LAKSH
7.578234,0.3468,-0.4044,-0.8479,1.0,LAYING,LAKSH
7.594458,0.3471,-0.4063,-0.8449,1.0,LAYING,LAKSH
7.611833,0.3473,-0.4059,-0.8393,0.99,LAYING,LAKSH
7.628914,0.3491,-0.4024,-0.8428,1.0,LAYING,LAKSH
